,Time,Liquid Pressure [Pa] ,Liquid Saturation ,Temperature [C] ,Total Tracer_river [M] ,qlx [m/h] ,qly [m/h] ,qlz [m/h] ,northing,easting,elevation,cell_id
5,8646.0,123030.4,1.0,5.718804,1.000002,-9.259827e-05,-0.0001015702,-0.0006565739,116310.0,594470.0,103.48,10041.0
6,8647.0,122641.5,1.0,5.717798,1.000002,-7.317759e-05,-8.07001e-05,-0.0005191722,116310.0,594470.0,103.48,10041.0
7,8648.0,122177.2,1.0,5.716804,1.000001,-5.446542e-05,-6.058171e-05,-0.0003867506,116310.0,594470.0,103.48,10041.0
8,8649.0,121422.3,1.0,5.715729,1.000001,-2.215656e-05,-2.576643e-05,-0.0001580433,116310.0,594470.0,103.48,10041.0
9,8650.0,121003.9,1.0,5.714604,1.000001,-1.053847e-05,-1.30881e-05,-7.572293e-05,116310.0,594470.0,103.48,10041.0
10,8651.0,120203.6,1.0,5.713292,1.0,1.999434e-05,1.963491e-05,0.0001403561,116310.0,594470.0,103.48,10041.0
11,8652.0,119552.9,1.0,5.711846,1.0,3.960086e-05,4.093531e-05,0.0002792982,116310.0,594470.0,103.48,10041.0
0,8641.0,110515.5,1.0,5.754526,1.000002,-7.886606e-05,-0.0001428479,-0.01205294,116310.0,594460.0,104.606,59927.0
1,8642.0,111028.1,1.0,5.753308,1.000002,0.0001015277,-0.0002183257,-0.0149808,116310.0,594460.0,104.606,59927.0
2,8643.0,111315.1,1.0,5.751864,1.000002,0.0001127455,-0.0002314792,-0.01553541,116310.0,594460.0,104.606,59927.0
3,8644.0,111548.2,1.0,5.750176,1.000002,0.0001550939,-0.0002280343,-0.01594907,116310.0,594460.0,104.606,59927.0
4,8645.0,111611.3,1.0,5.748386,1.000002,0.000172386,-0.0002194326,-0.01521409,116310.0,594460.0,104.606,59927.0
5,8646.0,111507.6,1.0,5.746538,1.000002,0.0001106845,-0.0002073205,-0.01313116,116310.0,594460.0,104.606,59927.0
6,8647.0,111224.3,1.0,5.744953,1.000002,7.227125e-05,-0.0001664004,-0.0103794,116310.0,594460.0,104.606,59927.0
7,8648.0,110859.1,1.0,5.743769,1.000002,-4.709596e-05,-0.0001112329,-0.007684209,116310.0,594460.0,104.606,59927.0
8,8649.0,110281.4,1.0,5.743247,1.000002,-3.843318e-05,-7.426277e-05,-0.003114152,116310.0,594460.0,104.606,59927.0
9,8650.0,109922.6,1.0,5.743226,1.000002,-6.092405e-05,-7.43925e-05,-0.001473319,116310.0,594460.0,104.606,59927.0
10,8651.0,109302.8,1.0,5.744471,1.000001,0.0002219114,6.897732e-05,0.002468413,116310.0,594460.0,104.606,59927.0
11,8652.0,108786.1,1.0,5.746372,1.000001,0.0005875361,0.0002456722,0.003905878,116310.0,594460.0,104.606,59927.0
0,8641.0,120979.5,1.0,5.744229,1.000002,-3.959822e-05,-1.663668e-05,-0.000663024,116300.0,594470.0,103.522,54060.0
1,8642.0,121449.4,1.0,5.744519,1.000002,-4.905237e-05,-2.063486e-05,-0.0008211575,116300.0,594470.0,103.522,54060.0
2,8643.0,121727.0,1.0,5.744808,1.000003,-5.096885e-05,-2.151091e-05,-0.0008534228,116300.0,594470.0,103.522,54060.0
3,8644.0,121953.8,1.0,5.745101,1.000003,-5.238379e-05,-2.204289e-05,-0.0008770969,116300.0,594470.0,103.522,54060.0
4,8645.0,122025.3,1.0,5.745406,1.000003,-4.994744e-05,-2.107049e-05,-0.0008364586,116300.0,594470.0,103.522,54060.0
